Data,Timestamp,entrada
266.56,3455.62,10
267.5,3455.68,10
266.47,3455.73,10
266.56,3455.79,10
266.38,3455.84,10
266.47,3455.9,10
266.75,3455.95,10
266.94,3456.01,10
267.31,3456.06,10
265.09,3456.11,10
266.56,3456.16,10
267.03,3456.21,10
266.75,3456.27,10
271.27,3456.33,10
266.47,3456.38,10
266.56,3456.43,10
266.47,3456.49,10
267.03,3456.55,10
266.56,3456.6,10
266.47,3456.65,10
266.47,3456.7,10
266.47,3456.76,10
266.75,3456.81,10
266.94,3456.87,10
266.75,3456.93,10
266.75,3456.98,10
266.66,3457.04,10
266.47,3457.09,10
266.47,3457.15,10
266.47,3457.2,10
266.47,3457.25,10
267.12,3457.31,10
267.03,3457.36,10
267.5,3457.42,10
266.75,3457.47,10
266.56,3457.53,10
266.47,3457.58,10
267.03,3457.64,10
266.47,3457.7,10
266.47,3457.75,10
266.56,3457.8,10
266.66,3457.85,10
266.94,3457.91,10
266.01,3457.96,10
266.28,3458.01,10
267.88,3458.06,10
265.0,3458.12,10
267.41,3458.17,10
266.47,3458.22,10
266.56,3458.28,10
266.56,3458.34,10
266.66,3458.4,10
266.94,3458.45,10
266.84,3458.51,10
266.94,3458.56,10
266.56,3458.62,10
266.84,3458.68,10
266.56,3458.74,10
267.31,3458.79,10
266.38,3458.85,10
266.47,3458.9,10
266.66,3458.95,10
266.47,3459.0,10
266.94,3459.06,10
266.47,3459.11,10
266.38,3459.17,10
267.03,3459.22,10
267.03,3459.28,10
266.94,3459.33,10
266.47,3459.39,10
266.75,3459.45,10
267.03,3459.5,10
266.47,3459.56,10
266.94,3459.62,10
266.84,3459.67,10
266.47,3459.72,10
267.12,3459.78,10
266.47,3459.83,10
266.56,3459.89,10
266.75,3459.94,10
266.47,3460.0,10
267.12,3460.05,10
267.12,3460.1,10
267.03,3460.16,10
266.66,3460.21,10
266.56,3460.26,10
266.66,3460.31,10
266.66,3460.36,10
266.56,3460.42,10
266.47,3460.48,10
266.47,3460.53,10
266.66,3460.58,10
